time,frame,throttle,brake,steer,speed,imu_ax,imu_ay,imu_az
1765391337.9539504,23265,0.351,0.000,0.001,8.091,96619.7031,58228.2148,10.4644
1765391337.96095,23266,0.351,0.000,0.001,8.079,96619.7031,58228.2148,10.4644
1765391337.9709718,23267,0.350,0.000,-0.000,8.087,96619.7031,58228.2148,10.4644
1765391337.9810512,23268,0.350,0.000,-0.000,8.084,96619.7031,58228.2148,10.4644
1765391338.0122745,23269,0.350,0.000,-0.000,8.084,96619.7031,58228.2148,10.4644
1765391338.013749,23270,0.350,0.000,-0.000,8.083,96619.7031,58228.2148,10.4644
1765391338.0217624,23271,0.355,0.000,0.000,8.087,96619.7031,58228.2148,10.4644
1765391338.0307767,23272,0.355,0.000,0.000,8.079,96619.7031,58228.2148,10.4644
1765391338.038319,23273,0.355,0.000,0.000,8.083,96619.7031,58228.2148,10.4644
1765391338.0464387,23274,0.355,0.000,0.000,8.067,96619.7031,58228.2148,10.4644
1765391338.0569506,23275,0.355,0.000,0.000,8.076,96619.7031,58228.2148,10.4644
1765391338.0679815,23276,0.355,0.000,0.000,8.077,96619.7031,58228.2148,10.4644
1765391338.0971007,23277,0.355,0.000,0.000,8.078,96619.7031,58228.2148,10.4644
1765391338.0981004,23278,0.355,0.000,0.000,8.077,96619.7031,58228.2148,10.4644
1765391338.1061645,23279,0.371,0.000,0.000,8.081,96619.7031,58228.2148,10.4644
1765391338.1141775,23280,0.371,0.000,0.000,8.073,96619.7031,58228.2148,10.4644
1765391338.1206813,23281,0.371,0.000,0.000,8.078,96619.7031,58228.2148,10.4644
1765391338.1323278,23282,0.371,0.000,0.000,8.077,96619.7031,58228.2148,10.4644
1765391338.1432652,23283,0.363,0.000,0.000,8.078,96619.7031,58228.2148,10.4644
1765391338.1728585,23284,0.363,0.000,0.000,8.079,96619.7031,58228.2148,10.4644
1765391338.1733608,23285,0.363,0.000,0.000,8.080,96619.7031,58228.2148,10.4644
1765391338.1814668,23286,0.363,0.000,0.000,8.084,96619.7031,58228.2148,10.4644
1765391338.1899753,23287,0.369,0.000,0.000,8.079,96619.7031,58228.2148,10.4644
1765391338.1979997,23288,0.369,0.000,0.000,8.083,96619.7031,58228.2148,10.4644
1765391338.2070322,23289,0.369,0.000,0.000,8.071,96619.7031,58228.2148,10.4644
1765391338.2180586,23290,0.369,0.000,0.000,8.079,96619.7031,58228.2148,10.4644
1765391338.2482235,23291,0.367,0.000,0.000,8.079,96619.7031,58228.2148,10.4644
1765391338.2492237,23292,0.367,0.000,0.000,8.084,96619.7031,58228.2148,10.4644
1765391338.2573447,23293,0.367,0.000,0.000,8.081,96619.7031,58228.2148,10.4644
1765391338.2663517,23294,0.367,0.000,0.000,8.087,96619.7031,58228.2148,10.4644
1765391338.2735195,23295,0.366,0.000,0.000,8.075,96619.7031,58228.2148,10.4644
1765391338.2830267,23296,0.366,0.000,0.000,8.084,96619.7031,58228.2148,10.4644
1765391338.293644,23297,0.366,0.000,0.000,8.081,96619.7031,58228.2148,10.4644
1765391338.325328,23298,0.366,0.000,0.000,8.082,96619.7031,58228.2148,10.4644
1765391338.327329,23299,0.372,0.000,0.001,8.081,96619.7031,58228.2148,10.4644
1765391338.334488,23300,0.372,0.000,0.001,8.086,96619.7031,58228.2148,10.4644
1765391338.3439946,23301,0.372,0.000,0.001,8.078,96619.7031,58228.2148,10.4644
1765391338.350998,23302,0.372,0.000,0.001,8.081,96619.7031,58228.2148,10.4644
1765391338.3600237,23303,0.363,0.000,-0.000,8.068,96619.7031,58228.2148,10.4644
1765391338.3710482,23304,0.363,0.000,-0.000,8.078,96619.7031,58228.2148,10.4644
1765391338.3812737,23305,0.363,0.000,-0.000,8.080,96619.7031,58228.2148,10.4644
1765391338.410959,23306,0.363,0.000,-0.000,8.083,96619.7031,58228.2148,10.4644
1765391338.4124303,23307,0.382,0.000,0.000,8.089,96619.7031,58228.2148,10.4644
